2026-06-23 16:40:37.558 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:40:37.561 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:41:37.563 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:41:37.564 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:41:37.564 [scheduling-1] INFO  NotifyScheduler - [[[주기 통보 실행 결정]]] - schedule: 주기|1-5|000501|2|230501, 499번째 실행, slotTime: 2026-06-23T16:41:01
2026-06-23 16:42:37.572 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:42:37.575 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:43:37.578 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:43:37.579 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:43:37.580 [scheduling-1] INFO  NotifyScheduler - [[[주기 통보 실행 결정]]] - schedule: 주기|1-5|000501|2|230501, 500번째 실행, slotTime: 2026-06-23T16:43:01
